steamLink,header,Name,Copies Sold (LTD),Gross Revenue (LTD),Steam Followers,Current CCU,Today's Top CCU,All-Time High CCU,Review Count,Review Score,Release Date,Tags
https://store.steampowered.com/app/2415010,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2415010/header.jpg?t=1725513367,A Date with Death,402000,517000,14280,363,363,2861,8399,98%,2023-12-07,"[""Dating Sim"",""Visual Novel"",""LGBTQ+"",""Romance"",""Otome"",""Supernatural"",""Character Customization"",""Choices Matter"",""Dark Fantasy"",""Anime"",""Story Rich"",""Interactive Fiction"",""Life Sim"",""Choose Your Own Adventure"",""Multiple Endings"",""Funny"",""Comedy"",""Text-Based"",""Lore-Rich"",""Immersive Sim""]"
https://store.steampowered.com/app/1296770,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1296770/header.jpg?t=1667494985,Her New Memory - Hentai Simulator,395800,2974000,11816,25,25,86,3194,94%,2020-06-18,"[""Sexual Content"",""Hentai"",""Dating Sim"",""NSFW"",""Character Customization"",""Visual Novel"",""Anime"",""Nudity"",""Simulation"",""Romance"",""Management"",""2D"",""Mature"",""Casual"",""Relaxing"",""Indie"",""Singleplayer"",""Conversation"",""Colorful"",""Early Access""]"
https://store.steampowered.com/app/1630080,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1630080/header.jpg?t=1676562667,College Bound - Episode 1,392400,0,16568,47,50,567,3965,83%,2021-06-03,"[""Sexual Content"",""Nudity"",""Mature"",""NSFW"",""Free to Play"",""Dating Sim"",""Visual Novel"",""2.5D"",""Nonlinear"",""Story Rich"",""Multiple Endings"",""Funny"",""Relaxing"",""Choices Matter"",""Simulation"",""Narration"",""Realistic"",""Casual"",""Singleplayer"",""Modern""]"
https://store.steampowered.com/app/2066550,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2066550/header.jpg?t=1691194043,ERROR143,387000,89000,9799,35,50,450,4025,93%,2022-07-26,"[""Visual Novel"",""Dating Sim"",""LGBTQ+"",""Romance"",""Choices Matter"",""Choose Your Own Adventure"",""Otome"",""2D"",""Immersive Sim"",""Cute"",""Multiple Endings"",""First-Person"",""Narration"",""Anime"",""Hacking"",""Stylized"",""Simulation"",""Memes"",""Emotional"",""Comedy""]"
https://store.steampowered.com/app/1121910,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1121910/header.jpg?t=1569326440,"I Love You, Colonel Sanders! A Finger Lickin’ Good Dating Simulator",383700,0,14841,6,13,4372,12535,91%,2019-09-24,"[""Dating Sim"",""Anime"",""Visual Novel"",""Beautiful"",""Cult Classic"",""Free to Play"",""World War I"",""Hentai"",""Story Rich"",""Psychedelic"",""Alternate History"",""Casual"",""Simulation"",""Choices Matter"",""Souls-like"",""Great Soundtrack"",""Indie"",""Atmospheric"",""Family Friendly"",""FPS""]"
https://store.steampowered.com/app/1406990,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1406990/header.jpg?t=1656892323,NEKOPARA Vol. 4,382700,2381000,34859,26,50,2529,7968,97%,2020-11-26,"[""Sexual Content"",""Hentai"",""Anime"",""Nudity"",""Visual Novel"",""First-Person"",""Cute"",""Mature"",""Story Rich"",""Singleplayer"",""Dating Sim"",""Casual"",""2D"",""Colorful"",""Adventure"",""Comedy"",""Hand-drawn"",""Choices Matter"",""Souls-like"",""Indie""]"
https://store.steampowered.com/app/812810,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/812810/header.jpg?t=1702502470,missed messages.,381500,0,13197,4,8,17,15018,96%,2019-05-20,"[""Free to Play"",""Visual Novel"",""LGBTQ+"",""Choices Matter"",""Romance"",""Emotional"",""Psychological Horror"",""Female Protagonist"",""Indie"",""Psychological"",""Singleplayer"",""Story Rich"",""Great Soundtrack"",""Casual"",""Simulation"",""Horror"",""Atmospheric"",""Memes"",""Anime"",""Sexual Content""]"
https://store.steampowered.com/app/1186400,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1186400/header.jpg?t=1719828860,West Sweety,379500,418000,20186,0,9,52,3249,84%,2019-12-13,"[""Sexual Content"",""Nudity"",""Hentai"",""Mature"",""NSFW"",""Casual"",""Indie"",""Simulation"",""RPG"",""Anime"",""Adventure"",""Western"",""FPS"",""Card Game"",""Visual Novel"",""Shooter"",""Singleplayer"",""Memes"",""Walking Simulator"",""Female Protagonist""]"
https://store.steampowered.com/app/310360,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/310360/header.jpg?t=1725523046,Higurashi When They Cry Hou - Ch.1 Onikakushi,370800,0,16642,43,43,49,4972,96%,2015-05-15,"[""Visual Novel"",""Mystery"",""Anime"",""Psychological"",""Story Rich"",""Dark"",""Atmospheric"",""Cult Classic"",""Singleplayer"",""Adventure"",""Cute"",""Great Soundtrack"",""Linear"",""Classic"",""2D"",""Episodic"",""Funny"",""Mature"",""Indie"",""Casual""]"
https://store.steampowered.com/app/1880330,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1880330/header.jpg?t=1730357554,Sanfu,370700,2601000,21274,9,72,21648,15712,82%,2023-07-27,"[""Mystery"",""RPG"",""Drama"",""Adventure"",""2D"",""Puzzle"",""Colorful"",""Hand-drawn"",""Visual Novel"",""Puzzle Platformer"",""Story Rich"",""Retro"",""Fantasy"",""Emotional"",""Detective"",""Atmospheric"",""Crime"",""Old School"",""Investigation"",""Surreal""]"
